고객ID,상담자ID,상담자명,등록일,딜러명,연락처,성별,생년월일,연령대,거주지역,관심차종,방문목적,월주행거리_km,주요용도,예상예산_만원,선호색상,동승인원구성,중요요소1,중요요소2,중요요소3,최근보유차종,기타요청사항
CUST1051,CS1003,김영일,2024-10-06,홍길동,010-9086-4558,여,1969-03-01,50대,세종,코나,견적문의,2000,레저,4500,실버,부모님동반,정숙성,AS,재판매가,XM3,하이브리드 모델도 비교해보고 싶어요.
CUST1052,CS1004,김재호,2025-03-29,홍길동,010-6601-7885,여,1974-05-06,50대,경기,투싼,시승,3000,장거리 출장,3500,화이트,친구와함께,승차감,가성비,정숙성,0,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1053,CS1004,김재호,2024-11-23,홍길동,010-6104-9165,여,2000-04-14,20대,인천,투싼,견적문의,1000,아이 등하교,3000,실버,혼자,정숙성,승차감,브랜드,그랜저,최근 전기차에 관심이 많아요.
CUST1054,CS1000,김수민,2025-02-12,홍길동,010-7084-8597,여,1976-07-31,40대,광주,스타리아,시승,500,레저,3500,그레이,부모님동반,안전성,AS,승차감,그랜저,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1055,CS1004,김재호,2025-03-26,홍길동,010-1519-6410,여,1998-10-30,20대,인천,그랜저,계약,2000,출퇴근,4500,블루,혼자,승차감,재판매가,브랜드,싼타페,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1056,CS1003,김영일,2024-11-16,홍길동,010-2314-3393,남,1973-01-13,50대,전남,GV80,구매상담,2500,여행,4000,그레이,아이동반,재판매가,내부공간,브랜드,그랜저,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1057,CS1009,홍예준,2024-10-09,홍길동,010-1918-5366,남,1994-03-01,30대,울산,투싼,견적문의,3000,출퇴근,3000,블랙,배우자,정숙성,디자인,승차감,아이오닉6,하이브리드 모델도 비교해보고 싶어요.
CUST1058,CS1006,김지원,2024-11-02,홍길동,010-7429-2169,여,1994-05-02,30대,경남,코나,시승,1000,아이 등하교,5000,실버,부모님동반,디자인,가성비,브랜드,캐스퍼,하이브리드 모델도 비교해보고 싶어요.
CUST1059,CS1006,김지원,2025-01-28,홍길동,010-9899-8702,남,1998-01-15,20대,세종,싼타페,견적문의,1000,출퇴근,2500,블랙,아이동반,재판매가,브랜드,안전성,투싼,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1060,CS1007,이민지,2025-03-30,홍길동,010-3975-4148,여,1997-05-05,20대,전북,코나,계약,2000,출퇴근,4500,화이트,부모님동반,AS,브랜드,연비,싼타페,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1061,CS1003,김영일,2025-03-03,홍길동,010-5097-7251,남,1982-07-27,40대,경기,GV80,시승,1000,여행,4500,블루,부모님동반,브랜드,승차감,내부공간,0,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1062,CS1001,서정남,2025-01-05,홍길동,010-1206-2998,여,1994-03-03,30대,충남,캐스퍼,견적문의,1500,출퇴근,3000,실버,부모님동반,안전성,브랜드,내부공간,그랜저,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1063,CS1007,이민지,2024-10-25,홍길동,010-5078-7304,남,1962-01-29,60대,충북,코나,견적문의,500,여행,4500,네이비,혼자,정숙성,안전성,내부공간,그랜저,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1064,CS1003,김영일,2024-10-10,홍길동,010-8257-5049,여,1954-09-04,70대,경남,스타리아,시승,1000,아이 등하교,4500,블랙,아이동반,안전성,재판매가,디자인,아이오닉6,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1065,CS1009,홍예준,2025-02-26,홍길동,010-1549-4263,남,1992-11-19,30대,대전,코나,시승,2500,여행,2500,블랙,혼자,안전성,디자인,승차감,0,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1066,CS1004,김재호,2025-02-28,홍길동,010-8550-2539,여,1957-05-08,60대,전남,스타리아,계약,1000,여행,4500,블랙,부모님동반,가성비,정숙성,승차감,싼타페,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1067,CS1004,김재호,2024-12-07,홍길동,010-9538-4415,여,1992-04-13,30대,충북,GV70,견적문의,500,아이 등하교,5000,실버,친구와함께,재판매가,안전성,승차감,XM3,최근 전기차에 관심이 많아요.
CUST1068,CS1008,이미숙,2025-02-19,홍길동,010-8746-7375,여,2001-03-10,20대,충남,아반떼,계약,2000,아이 등하교,3000,블루,배우자,재판매가,내부공간,가성비,티볼리,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1069,CS1000,김수민,2024-12-08,홍길동,010-6113-6293,여,2003-10-05,20대,경남,캐스퍼,계약,3000,장거리 출장,4000,화이트,배우자,정숙성,AS,디자인,XM3,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1070,CS1001,서정남,2024-11-08,홍길동,010-3598-1691,여,1976-04-03,40대,서울,싼타페,계약,3000,장거리 출장,2500,그레이,아이동반,AS,내부공간,디자인,K5,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1071,CS1008,이미숙,2024-11-29,홍길동,010-9534-3001,여,2004-07-17,20대,충북,스타리아,시승,2500,출퇴근,3000,블루,아이동반,가성비,디자인,내부공간,투싼,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1072,CS1001,서정남,2024-11-03,홍길동,010-5150-8884,여,2002-06-01,20대,대전,코나,시승,500,아이 등하교,2500,실버,아이동반,AS,내부공간,승차감,스타리아,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1073,CS1008,이미숙,2025-02-04,홍길동,010-5895-4255,여,1964-06-29,60대,대전,싼타페,구매상담,500,레저,4000,레드,배우자,안전성,승차감,가성비,XM3,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1074,CS1004,김재호,2024-10-21,홍길동,010-6905-1853,여,1955-07-03,60대,경기,아이오닉6,계약,1500,레저,3000,화이트,부모님동반,AS,브랜드,내부공간,GV70,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1075,CS1007,이민지,2025-03-07,홍길동,010-4568-2850,여,1965-04-20,50대,울산,캐스퍼,계약,500,장거리 출장,4000,레드,아이동반,재판매가,브랜드,정숙성,아이오닉6,중고차 보상 혜택이 있으면 알려주세요.
CUST1076,CS1006,김지원,2025-02-13,홍길동,010-4866-8113,여,1986-03-06,30대,서울,GV80,시승,2500,여행,3500,네이비,배우자,재판매가,AS,가성비,캐스퍼,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1077,CS1009,홍예준,2025-01-15,홍길동,010-6316-1246,여,1991-12-31,30대,광주,그랜저,시승,1500,여행,2500,레드,아이동반,승차감,디자인,브랜드,K5,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1078,CS1006,김지원,2024-12-31,홍길동,010-3742-5523,남,1957-11-19,60대,울산,싼타페,견적문의,2500,레저,3500,네이비,배우자,브랜드,안전성,재판매가,K5,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1079,CS1001,서정남,2025-03-07,홍길동,010-2960-7484,여,1959-08-27,60대,대구,싼타페,구매상담,3000,여행,4500,실버,혼자,내부공간,연비,브랜드,투싼,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1080,CS1007,이민지,2025-01-15,홍길동,010-4982-1146,여,1985-05-14,30대,경기,GV80,계약,3000,아이 등하교,2500,블루,배우자,안전성,연비,AS,스타리아,하이브리드 모델도 비교해보고 싶어요.
CUST1081,CS1001,서정남,2024-11-20,홍길동,010-1688-8786,여,1967-01-03,50대,강원,캐스퍼,시승,1000,출퇴근,2500,실버,부모님동반,디자인,재판매가,가성비,코나,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1082,CS1006,김지원,2025-01-11,홍길동,010-3539-7084,여,1958-11-10,60대,충남,GV70,계약,2500,장거리 출장,4000,블루,혼자,안전성,내부공간,브랜드,그랜저,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1083,CS1005,김은서,2025-02-06,홍길동,010-2466-5075,남,1974-03-25,50대,경북,스타리아,구매상담,1500,출퇴근,5000,실버,친구와함께,AS,연비,내부공간,GV70,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1084,CS1003,김영일,2025-01-18,홍길동,010-3583-9190,남,1979-04-22,40대,경북,그랜저,구매상담,3000,레저,2500,화이트,아이동반,가성비,승차감,재판매가,싼타페,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1085,CS1008,이미숙,2025-03-09,홍길동,010-2497-6544,남,1961-03-30,60대,울산,투싼,견적문의,1000,레저,2500,실버,배우자,승차감,정숙성,브랜드,아반떼,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1086,CS1001,서정남,2024-12-30,홍길동,010-1983-1979,남,1978-12-26,40대,광주,아이오닉6,견적문의,1000,레저,3500,화이트,배우자,브랜드,연비,승차감,티볼리,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1087,CS1008,이미숙,2024-12-18,홍길동,010-6824-3521,남,1993-04-25,30대,대구,스타리아,계약,1500,레저,4500,화이트,부모님동반,정숙성,가성비,연비,GV80,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1088,CS1007,이민지,2025-01-09,홍길동,010-9787-2759,남,1967-11-19,50대,부산,스타리아,계약,2000,출퇴근,4000,블루,부모님동반,디자인,재판매가,AS,코나,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1089,CS1001,서정남,2025-03-18,홍길동,010-3061-8992,남,2002-09-13,20대,경기,GV80,견적문의,2000,레저,4500,실버,부모님동반,정숙성,내부공간,디자인,투싼,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1090,CS1008,이미숙,2024-10-10,홍길동,010-4812-6189,남,1975-04-23,40대,전남,스타리아,구매상담,2000,아이 등하교,4000,그레이,부모님동반,디자인,AS,내부공간,K5,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1091,CS1004,김재호,2024-12-31,홍길동,010-6690-8187,여,1983-09-13,40대,광주,스타리아,시승,500,출퇴근,2500,그레이,혼자,AS,승차감,연비,K5,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1092,CS1001,서정남,2025-03-27,홍길동,010-4161-1349,여,1990-07-25,30대,충남,캐스퍼,시승,1500,레저,3500,실버,혼자,재판매가,정숙성,가성비,코나,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1093,CS1007,이민지,2025-02-21,홍길동,010-7189-6868,남,1998-07-27,20대,인천,아반떼,견적문의,500,아이 등하교,4500,블랙,부모님동반,정숙성,재판매가,연비,GV70,중고차 보상 혜택이 있으면 알려주세요.
CUST1094,CS1000,김수민,2024-12-02,홍길동,010-3207-5107,남,1982-07-18,40대,경기,코나,견적문의,1500,출퇴근,3000,네이비,배우자,재판매가,내부공간,디자인,코나,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1095,CS1000,김수민,2025-01-12,홍길동,010-1646-8951,남,1960-11-06,60대,제주,투싼,계약,2000,여행,3500,블랙,아이동반,브랜드,AS,디자인,그랜저,중고차 보상 혜택이 있으면 알려주세요.
CUST1096,CS1002,김영자,2024-11-05,홍길동,010-8168-5828,남,1975-04-04,40대,부산,그랜저,견적문의,2000,여행,4000,레드,부모님동반,내부공간,브랜드,가성비,투싼,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1097,CS1005,김은서,2025-02-09,홍길동,010-9892-9029,여,1981-09-13,40대,인천,코나,계약,2500,아이 등하교,2500,블랙,부모님동반,재판매가,연비,정숙성,캐스퍼,하이브리드 모델도 비교해보고 싶어요.
CUST1098,CS1004,김재호,2025-03-14,홍길동,010-4109-4057,남,1992-03-21,30대,광주,코나,견적문의,1500,출퇴근,2500,그레이,부모님동반,승차감,재판매가,내부공간,스타리아,하이브리드 모델도 비교해보고 싶어요.
CUST1099,CS1008,이미숙,2025-01-01,홍길동,010-9906-6696,여,1996-03-19,20대,대구,캐스퍼,시승,2000,출퇴근,4000,화이트,아이동반,재판매가,내부공간,정숙성,티볼리,하이브리드 모델도 비교해보고 싶어요.
CUST1100,CS1004,김재호,2024-12-08,홍길동,010-6303-8674,남,1993-07-27,30대,전북,아이오닉6,견적문의,1000,레저,4000,네이비,아이동반,디자인,내부공간,재판매가,스타리아,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1101,CS1006,김지원,2025-02-14,홍길동,010-5510-3627,여,1982-05-13,40대,제주,그랜저,계약,1500,아이 등하교,3000,실버,배우자,디자인,정숙성,재판매가,캐스퍼,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1102,CS1005,김은서,2024-10-31,홍길동,010-2128-9702,여,1977-07-22,40대,광주,투싼,시승,1000,아이 등하교,3000,블랙,친구와함께,승차감,디자인,재판매가,0,최근 전기차에 관심이 많아요.
CUST1103,CS1007,이민지,2024-12-01,홍길동,010-3539-8362,여,1973-11-05,50대,충북,아반떼,구매상담,2000,출퇴근,4000,그레이,아이동반,브랜드,연비,AS,싼타페,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1104,CS1004,김재호,2024-11-02,홍길동,010-5844-5314,여,1990-11-29,30대,경북,아이오닉6,시승,1500,아이 등하교,2500,블루,혼자,재판매가,정숙성,내부공간,XM3,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1105,CS1009,홍예준,2025-01-16,홍길동,010-9873-7014,남,1954-08-12,70대,경북,GV80,구매상담,1500,레저,4000,레드,배우자,연비,안전성,디자인,K5,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1106,CS1001,서정남,2025-03-03,홍길동,010-8439-1011,남,1981-04-11,40대,부산,투싼,계약,2000,레저,4500,레드,배우자,AS,재판매가,브랜드,모닝,하이브리드 모델도 비교해보고 싶어요.
CUST1107,CS1006,김지원,2025-01-01,홍길동,010-9289-7210,여,1976-10-06,40대,부산,아반떼,시승,1500,출퇴근,4500,블루,부모님동반,브랜드,재판매가,승차감,K5,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1108,CS1001,서정남,2025-02-12,홍길동,010-4039-1306,남,1999-10-21,20대,충남,코나,계약,1000,레저,5000,화이트,아이동반,정숙성,내부공간,AS,코나,최근 전기차에 관심이 많아요.
CUST1109,CS1008,이미숙,2024-11-19,홍길동,010-6965-4912,남,2001-05-27,20대,전남,GV70,견적문의,500,아이 등하교,3500,블랙,배우자,AS,안전성,가성비,스타리아,통풍시트와 열선시트 꼭 필요해요.
CUST1110,CS1002,김영자,2024-12-04,홍길동,010-6254-2037,남,1964-09-07,60대,대구,코나,시승,2500,레저,5000,레드,혼자,AS,승차감,내부공간,코나,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1111,CS1002,김영자,2025-02-28,홍길동,010-9830-7348,남,1958-06-19,60대,대전,스타리아,시승,2000,아이 등하교,5000,블루,배우자,안전성,브랜드,재판매가,스타리아,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
